Provision type,Ofsted region,Local authority,Sector,Places,Organisation which owns the provider
Residential Special School,South East,Surrey,Academy,16,Learning and Inspiration For Tomorrow Partnership
Residential Special School,South East,Surrey,Local Authority,23,Surrey County Council
Boarding School,South East,Surrey,Academy,268,Gordon's School Academy Trust
Children's home,East of England,Bedford,Local Authority,7,Bedford Borough Council
Children's home,London,Hounslow,Private,4,Westgate Lifestyle Project Limited
Children's home,South West,Gloucestershire,Local Authority,6,Gloucestershire County Council
Children's home,West Midlands,Birmingham,Private,3,Adecyn Childrens Homes Ltd
Children's home,London,Barking and Dagenham,Private,5,Heartwood Residential Services Ltd
Children's home,South East,Buckinghamshire,Voluntary,8,Action For Children
Children's home,North West,St Helens,Private,1,PIC Children's Services Limited
Residential Family Centre,"North East, Yorkshire and the Humber",Bradford,Private,4,Oikos Family Centres Limited
Children's home,West Midlands,Staffordshire,Private,4,Haven Care Group Ltd
Children's home,West Midlands,Wolverhampton,Private,4,Steps 4 Life Care Limited
Children's home,East of England,Essex,Private,4,Shalamar Children Limited
Children's home,North West,Sefton,Private,6,Witherslack Group Ltd
Children's home,North West,Lancashire,Private,9,Witherslack Group Ltd
Children's home,West Midlands,Shropshire,Private,5,Cambian Childcare Ltd
Children's home,"North East, Yorkshire and the Humber",Calderdale,Private,4,Care 4 Children Residential Services Ltd
Children's home,East Midlands,Leicestershire,Private,4,The Place Young People's Company Limited
Children's home,East Midlands,Leicestershire,Private,3,T-Junction Children's Services Ltd
Children's home,South East,West Sussex,Private,4,Compass Children's Homes Ltd
Independent Fostering Agency,East Midlands,Nottinghamshire,Private,,Ivy House Fostering Agency Ltd
Adoption Support Agency,South West,Devon,Private,,
Children's home,North West,Wirral,Private,4,Good Foundations Limited
Children's home,South West,Devon,Private,1,One To One Crisis Intervention Ltd
Children's home,"North East, Yorkshire and the Humber",North Tyneside,Local Authority,6,North Tyneside Council
Children's home,West Midlands,Staffordshire,Private,4,Mangrove Care Limited
Children's home,South East,Surrey,Local Authority,4,Surrey County Council
Independent Fostering Agency,West Midlands,Worcestershire,Private,,Children Always First Limited
Children's home,"North East, Yorkshire and the Humber",Northumberland,Local Authority,4,Northumberland County Council
Children's home,South East,Kent,Private,4,Acorn Homes (uk) Limited
Children's home,North West,Lancashire,Private,10,Halliwell Homes
Children's home,East of England,Hertfordshire,Private,4,Surecare Residential Ltd
Adoption Support Agency,West Midlands,Staffordshire,Private,,The Child Psychology Service C.I.C
Children's home,"North East, Yorkshire and the Humber",East Riding of Yorkshire,Local Authority,6,East Riding of Yorkshire Council
Children's home,South East,Hampshire,Private,4,New Forest Care
Secure children's home,"North East, Yorkshire and the Humber",Durham,Local Authority,38,Durham County Council
Children's home,East Midlands,Derby,Local Authority,6,Derby City Council
Children's home,South West,Devon,Private,5,Phoenix Childcare Ltd
Children's home,North West,Sefton,Private,2,Progressive Futures Care Limited
Children's home,West Midlands,Birmingham,Private,3,Cambian Childcare Ltd
Children's home,"North East, Yorkshire and the Humber",Sheffield,Private,3,Keys Care Ltd
Children's home,South East,Surrey,Voluntary,16,Action For Children
Children's home,East of England,Essex,Private,4,Pss Care Group Limited
Independent Fostering Agency,"North East, Yorkshire and the Humber",Leeds,Private,,Unity Foster Care Ltd
Children's home,East of England,Essex,Private,6,Pathways Care Group
Children's home,West Midlands,Birmingham,Private,4,Sherlock Healthcare Services Ltd
Children's home,"North East, Yorkshire and the Humber",Gateshead,Private,5,Artemis Support Ltd
Children's home,"North East, Yorkshire and the Humber",Newcastle upon Tyne,Local Authority,6,Newcastle City Council
Adoption Support Agency,South East,Surrey,Private,,The Cherrycroft Practice
Children's home,"North East, Yorkshire and the Humber",Calderdale,Private,3,Restorative social care services ltd
Children's home,East of England,Cambridgeshire,Private,4,Higher Hopes Ltd
Children's home,North West,Lancashire,Private,4,Sandcastle Care Ltd
Children's home,East Midlands,Nottinghamshire,Voluntary,2,The Caldecott Foundation Limited
Children's home,North West,Cumbria,Private,4,Sandcastle Care Ltd
Children's home,East Midlands,Northamptonshire,Private,3,Esland North Limited
Children's home,West Midlands,Sandwell,Private,3,Blossom Care Group Ltd
Children's home,West Midlands,Staffordshire,Private,3,First Blue Healthcare Limited
Residential Family Centre,South West,Plymouth,Private,5,Trevi House Ltd
Children's home,"North East, Yorkshire and the Humber",Rotherham,Private,4,Flourish Children's Services Limited
Children's home,North West,Lancashire,Private,4,Sandcastle Care Ltd
Children's home,East of England,Thurrock,Private,2,Nirmal Homes Ltd
Children's home,"North East, Yorkshire and the Humber",Middlesbrough,Local Authority,2,Middlesbrough Borough Council
Children's home,"North East, Yorkshire and the Humber",Kingston upon Hull,Local Authority,1,Hull City Council
Children's home,West Midlands,Staffordshire,Private,4,Horizon Care and Education Group Limited
Children's home,East Midlands,Northamptonshire,Private,5,Platform Childcare Ltd
Independent Fostering Agency,West Midlands,Telford and Wrekin,Private,,Ican Foster Ltd
Children's home,West Midlands,Coventry,Private,4,Horizon Care and Education Group Limited
Residential Family Centre,East Midlands,Northamptonshire,Private,2,The Woodbridge Family Centre
Voluntary Adoption Agency,South West,Bristol,Voluntary,,Barnardo's
Children's home,South East,Kent,Voluntary,6,We Are Beams
Children's home,North West,Cumbria,Private,4,CASC (BARROW) LIMITED
Children's home,West Midlands,Sandwell,Private,3,Progress Children's Services Limited
Children's home,East Midlands,Derbyshire,Local Authority,6,Derbyshire County Council
Children's home,West Midlands,Staffordshire,Private,15,Hopedale Children and Family Services Limited
Children's home,North West,Cumbria,Voluntary,4,Carlisle Mencap Ltd
Residential Family Centre,London,Waltham Forest,Private,5,Care 2 Share Ltd
Children's home,"North East, Yorkshire and the Humber",Leeds,Local Authority,4,Leeds City Council
Residential special school (registered as a children's home),South East,Oxfordshire,Private,12,MacIntyre Academies
Children's home,North West,Cheshire West and Chester,Private,4,Mercia Children Services Limited
Children's home,North West,Salford,Private,4,Care 4 Every Child Limited
Children's home,North West,Stockport,Private,5,Care Haven (UK) Ltd
Children's home,"North East, Yorkshire and the Humber",Bradford,Local Authority,6,City of Bradford Metropolitan District Council
Children's home,North West,Oldham,Private,3,Meadows Care Limited
Children's home,South East,Hampshire,Private,5,Fairways Care (uk) Limited
Children's home,"North East, Yorkshire and the Humber",Sheffield,Local Authority,6,Sheffield City Council
Independent Fostering Agency,North West,Oldham,Private,,Safehouses North Limited
Voluntary Adoption Agency,"North East, Yorkshire and the Humber",Leeds,Voluntary,,Barnardo's
Voluntary Adoption Agency,East of England,Essex,Voluntary,,Barnardo's
Children's home,South East,Oxfordshire,Private,5,Homes 2 Inspire Limited
Children's home,South East,Kent,Private,7,Acorn Homes (uk) Limited
Children's home,North West,Lancashire,Private,3,Next Stage 4Life LTD
Children's home,East Midlands,Nottingham,Private,6,Esland North Limited
Children's home,London,Havering,Private,6,Children Assisted in a Real Environment (care) Ltd
Children's home,"North East, Yorkshire and the Humber",Kingston upon Hull,Local Authority,1,Hull City Council
Children's home,West Midlands,Staffordshire,Private,4,Blue Mountain Homes Ltd
Children's home,East of England,Cambridgeshire,Local Authority,4,Cambridgeshire County Council
Children's home,West Midlands,Stoke-on-Trent,Local Authority,2,Stoke On Trent City Council
Children's home,West Midlands,Birmingham,Private,2,Solid Global Limited
Independent Fostering Agency,"North East, Yorkshire and the Humber",Wakefield,Private,,Homes 2 Inspire Limited
Children's home,West Midlands,Staffordshire,Private,4,Pathways Residential Child Care Larkhill House Limited
Children's home,North West,Rochdale,Private,2,Timeout Childrens Homes Ltd
Children's home,North West,Blackpool,Private,3,Sandcastle Care Ltd
Children's home,East of England,Bedford,Private,4,Pathways Care Group
Children's home,South East,Bracknell Forest,Private,4,SWAAY Child and Adolescent Services Limited
Children's home,East of England,Hertfordshire,Voluntary,8,Action For Children
Children's home,"North East, Yorkshire and the Humber",Sunderland,Voluntary,6,St Cuthbert's Care
Children's home,West Midlands,Staffordshire,Private,4,Prestige Adolescent Care And Education Limited
Children's home,West Midlands,Telford and Wrekin,Private,2,MGM Care Services Ltd
Independent Fostering Agency,East Midlands,Nottingham,Private,,Fostering Dimensions Limited
Boarding School,South West,Dorset,Academy,104,Southern Academy Trust
Residential Special School,West Midlands,Solihull,Local Authority,12,Birmingham City Council
Children's home,South East,Southampton,Voluntary,8,The Rose Road Association
Boarding School,South East,West Sussex,Local Authority,125,West Sussex County Council
Independent Fostering Agency,"North East, Yorkshire and the Humber",Durham,Voluntary,,Barnardo's
Residential special school (registered as a children's home),South East,Buckinghamshire,Voluntary,20,MacIntyre Care
Children's home,East Midlands,Nottinghamshire,Local Authority,3,Nottinghamshire County Council
Children's home,South East,Kent,Private,4,Esland South Limited
Children's home,North West,Liverpool,Private,5,Considerate Care Limited
Residential special school (registered as a children's home),"North East, Yorkshire and the Humber",North Lincolnshire,Private,26,Options Autism (1) Limited
Children's home,"North East, Yorkshire and the Humber",Wakefield,Local Authority,4,Wakefield Metropolitan District Council
Children's home,West Midlands,Staffordshire,Private,2,Oracle Care Limited
Children's home,"North East, Yorkshire and the Humber",Kirklees,Private,5,Netheredge Care Limited
Children's home,North West,Cheshire West and Chester,Private,6,Care 4 Children Residential Services Ltd
Children's home,West Midlands,Shropshire,Private,4,Cambian Childcare Ltd
Boarding School,South East,Oxfordshire,Private,100,Touchload Ltd
Children's home,North West,Salford,Private,5,Holistic Approach Ltd
Independent Fostering Agency,South East,Brighton and Hove,Private,,Regional Foster Families Ltd
Children's home,South East,Slough,Voluntary,6,Slough Children's Services Trust Limited
Children's home,"North East, Yorkshire and the Humber",Newcastle upon Tyne,Voluntary,7,Talbot House School Newcastle Upon Tyne
Children's home,North West,Lancashire,Private,4,Hexagon Care Services Limited
Independent Fostering Agency,London,Lewisham,Private,,Potential Fostering Services Ltd
Children's home,East Midlands,Nottingham,Private,4,Total Care Matters Ltd
Children's home,South East,Milton Keynes,Private,4,Benjamin Uk Ltd
Children's home,North West,Rochdale,Private,3,Meadows Care Limited
Children's home,"North East, Yorkshire and the Humber",Durham,Private,3,Pear Tree Projects Limited
Children's home,North West,Lancashire,Private,2,Sandcastle Care Ltd
Boarding School,West Midlands,Coventry,Private,51,The National Mathematics and Science College
Children's home,South West,Plymouth,Private,2,South West Childcare Services
Children's home,East Midlands,Derbyshire,Private,3,Priory Education Services Limited
